id,name,ID,Date
35e13af0-7168-5cc4-8ec0-687f29179c06,Okta Password Health Report Query,0d58814b-1660-4d31-8c93-d1086ed24cba,2023-10-25
cf7efd86-28d4-5d48-b09e-cf46fcccfc06,Mail Forwarding/Redirecting Activity In O365,c726e007-2cd0-4a55-abfb-79730fbedee5,2023-10-11
680ddf64-6757-526c-936d-d8e1edad1fc5,Terminate Linux Process Via Kill,64c41342-6b27-523b-5d3f-c265f3efcdb3,2023-03-16
7e375672-80b6-5cdd-9876-165ca5992a40,Process Discovery,4e2f5868-08d4-413d-899f-dc2f1508627b,2020-10-06
8e601a28-0b2f-58e3-8410-8946f151aaa6,Python Path Configuration File Creation - Linux,fb96c26c-9f85-4ae7-af0d-ed1ed1f1f5ce,2024-04-25
c3ae3860-aa25-50bb-8940-3bdff29922e0,.Class Extension URI Ending Request,53c15703-b04c-42bb-9055-1937ddfb3392,2021-12-21
b2f7f77e-848b-5dac-b5ed-64c3459f5424,Uncommon GrantedAccess Flags On LSASS,678dfc63-fefb-47a5-a04c-26bcf8cc9f65,2022-03-13
7c44ca81-ef9a-5a9d-8a84-84448c864d38,Potential Shellcode Injection,250ae82f-736e-4844-a68b-0b5e8cc887da,2022-03-11
66b2bb6c-9abc-5045-96bf-bd506cce3c3c,Potential Credential Dumping Attempt Via PowerShell,0f920ebe-7aea-4c54-b202-9aa0c609cfe5,2020-10-06
f4285595-7049-5470-8277-b63b0ebcacb8,LSASS Access From Program In Potentially Suspicious Folder,fa34b441-961a-42fa-a100-ecc28c886725,2021-11-27
1c141bdb-396d-54cd-8310-bf3b340b2674,Amsi.DLL Load By Uncommon Process,facd1549-e416-48e0-b8c4-41d7215eedc8,2023-03-12
c6b8bbfd-6600-54bc-866e-2b459c6a3f04,BITS Client BitsProxy DLL Loaded By Uncommon Process,e700ff14-1bff-4d1d-9438-738dff5f0466,2025-06-04
82b785f3-1967-51d9-886a-2d5f52e1ec42,Dbghelp/Dbgcore DLL Loaded By Uncommon/Suspicious Process,0e277796-5f23-4e49-a490-483131d4f6e1,2019-10-27
3591be2d-7696-54a9-9297-c64b141a3ef2,Microsoft Word Add-In Loaded,1337afba-d17d-4d23-bd55-29b927603b30,2024-07-10
4e63dca5-f344-5047-a76b-228bf8f431f1,WMI Module Loaded By Uncommon Process,671bb7e3-a020-4824-a00e-2ee5b55f385e,2019-08-10
ffee9b3e-32dd-5588-8eb4-52d20b0adf98,Microsoft Excel Add-In Loaded,c5f4b5cb-4c25-4249-ba91-aa03626e3185,2023-05-12
d2e75ae5-5e4a-55aa-b62c-481f6e04293f,Task Scheduler DLL Loaded By Application Located In Potentially Suspicious Location,3b92a1d0-8d4b-4d28-a1b4-1e29d49a6a3e,2024-09-02
